zone_id,timestamp,methane_pct,co_ppm,oxygen_pct,dust_mg_m3,temperature_c,humidity_pct,sensor_status
H-02,2026-09-02 09:00:00,0.292,6.96,20.83,1.17,27.06,66.56,online
H-02,2026-09-02 10:00:00,0.284,8.44,20.83,1.02,27.28,72.19,online
H-02,2026-09-02 11:00:00,0.254,4.19,20.58,1.31,28.05,64.41,online
H-02,2026-09-02 12:00:00,0.349,3.19,20.85,1.69,26.31,63.1,online
H-02,2026-09-02 13:00:00,0.27,6.39,20.76,1.66,30.76,63.32,online
H-02,2026-09-02 14:00:00,0.376,8.06,21.01,1.28,28.2,66.83,online
H-02,2026-09-02 15:00:00,0.427,9.53,20.72,1.54,27.46,62.55,online
H-02,2026-09-02 16:00:00,0.336,8.06,20.83,1.3,28.5,67.12,online
H-02,2026-09-02 17:00:00,0.223,9.2,20.68,0.94,27.91,65.42,online
W-01,2026-09-01 18:00:00,0.272,9.5,20.64,1.2,27.12,64.77,online
W-01,2026-09-01 19:00:00,0.311,6.19,20.89,1.32,25.16,55.21,online
W-01,2026-09-01 20:00:00,0.3,7.6,20.79,1.29,28.34,69.74,online
W-01,2026-09-01 21:00:00,0.256,5.89,20.67,1.37,29.87,62.84,online
W-01,2026-09-01 22:00:00,0.2,4.93,20.7,1.16,27.39,65.19,online
W-01,2026-09-01 23:00:00,0.288,9.89,20.72,1.08,28.72,57.32,online
W-01,2026-09-02 00:00:00,0.316,8.18,20.78,1.7,27.07,75.3,online
W-01,2026-09-02 01:00:00,0.291,5.7,20.81,1.03,26.87,66.99,online
W-01,2026-09-02 02:00:00,0.322,6.88,20.92,1.59,30.15,67.65,online
W-01,2026-09-02 03:00:00,0.355,4.61,20.76,1.08,28.18,62.14,online
W-01,2026-09-02 04:00:00,0.293,11.39,20.78,1.4,27.65,65.38,online
W-01,2026-09-02 05:00:00,0.3,8.81,20.94,1.71,28.46,67.95,online
W-01,2026-09-02 06:00:00,0.254,7.84,20.91,1.52,28.32,69.43,online
W-01,2026-09-02 07:00:00,0.32,10.16,20.83,1.21,28.5,50.35,online
W-01,2026-09-02 08:00:00,0.315,1.43,20.59,1.41,28.72,59.19,online
W-01,2026-09-02 09:00:00,0.272,10.47,20.74,1.86,28.0,67.04,online
W-01,2026-09-02 10:00:00,0.365,8.24,20.68,1.27,27.95,58.18,online
W-01,2026-09-02 11:00:00,0.29,6.66,20.91,1.31,27.58,64.47,online
W-01,2026-09-02 12:00:00,0.309,9.11,20.68,1.04,29.66,62.94,online
W-01,2026-09-02 13:00:00,0.243,8.8,20.86,0.92,28.34,68.68,online
W-01,2026-09-02 14:00:00,0.315,9.14,20.63,1.38,27.55,62.59,online
W-01,2026-09-02 15:00:00,0.335,10.66,21.02,1.63,27.84,66.76,online
W-01,2026-09-02 16:00:00,0.331,8.22,20.82,1.51,27.91,61.35,online
W-01,2026-09-02 17:00:00,0.283,9.14,20.8,1.39,29.01,63.13,online
V-01,2026-09-01 18:00:00,0.33,8.68,20.65,1.66,27.25,56.72,online
V-01,2026-09-01 19:00:00,0.258,6.16,20.81,1.23,27.49,68.1,online
V-01,2026-09-01 20:00:00,0.314,8.57,20.85,1.45,24.84,63.18,online
V-01,2026-09-01 21:00:00,0.213,8.06,20.8,1.56,29.78,66.01,online
V-01,2026-09-01 22:00:00,0.28,8.87,20.74,1.3,29.48,62.21,online
V-01,2026-09-01 23:00:00,0.332,9.22,20.69,1.54,29.05,65.51,online
V-01,2026-09-02 00:00:00,0.27,6.45,20.74,1.44,26.57,67.19,online
V-01,2026-09-02 01:00:00,0.25,7.63,20.81,1.91,25.93,72.36,online
V-01,2026-09-02 02:00:00,0.306,8.74,20.81,1.41,27.77,72.27,online
V-01,2026-09-02 03:00:00,0.282,10.04,20.72,1.28,26.39,67.28,online
V-01,2026-09-02 04:00:00,0.358,7.86,20.78,1.02,27.66,57.04,online
V-01,2026-09-02 05:00:00,0.263,8.41,20.96,2.0,27.12,72.18,online
V-01,2026-09-02 06:00:00,0.31,7.73,20.85,1.32,28.17,62.96,online
V-01,2026-09-02 07:00:00,0.244,5.22,20.88,1.23,27.11,65.04,online
V-01,2026-09-02 08:00:00,0.332,8.32,20.72,1.61,30.37,67.47,online
V-01,2026-09-02 09:00:00,0.339,10.24,20.94,1.45,28.9,67.6,online
V-01,2026-09-02 10:00:00,0.256,9.26,20.64,1.1,29.96,69.2,online
V-01,2026-09-02 11:00:00,0.359,7.51,20.66,1.24,28.15,65.39,online
V-01,2026-09-02 12:00:00,0.345,7.35,20.84,1.05,28.68,65.02,online
V-01,2026-09-02 13:00:00,0.27,7.58,20.78,1.23,30.66,64.51,online
V-01,2026-09-02 14:00:00,0.29,4.22,20.69,1.23,26.97,71.91,online
V-01,2026-09-02 15:00:00,0.293,10.32,20.81,1.31,27.87,65.02,online
V-01,2026-09-02 16:00:00,0.369,3.82,20.56,1.16,28.02,68.45,online
V-01,2026-09-02 17:00:00,0.319,7.31,20.92,1.56,28.28,69.81,online
C-01,2026-09-01 18:00:00,0.311,6.99,20.88,1.33,28.0,72.36,online
C-01,2026-09-01 19:00:00,0.202,5.45,20.66,1.21,27.62,57.46,online
C-01,2026-09-01 20:00:00,0.261,6.45,21.09,1.75,27.38,63.18,online
C-01,2026-09-01 21:00:00,0.254,4.57,20.79,1.05,27.87,57.0,online
C-01,2026-09-01 22:00:00,0.27,8.27,20.84,1.4,26.02,69.27,online
C-01,2026-09-01 23:00:00,0.268,9.14,20.8,0.96,27.53,66.83,online
C-01,2026-09-02 00:00:00,0.325,7.75,20.98,1.55,27.62,68.75,online
C-01,2026-09-02 01:00:00,0.377,11.53,20.65,1.07,30.23,59.71,online
C-01,2026-09-02 02:00:00,0.247,7.12,20.85,1.27,27.02,61.63,online
C-01,2026-09-02 03:00:00,0.272,6.42,21.07,1.37,29.33,62.55,online
C-01,2026-09-02 04:00:00,0.293,6.72,20.48,0.96,25.28,53.75,online
C-01,2026-09-02 05:00:00,0.252,10.38,20.79,1.62,28.62,68.91,online
C-01,2026-09-02 06:00:00,0.264,8.94,20.89,1.16,28.84,67.83,online
C-01,2026-09-02 07:00:00,0.278,5.98,20.66,1.32,28.49,61.04,online
C-01,2026-09-02 08:00:00,0.301,9.03,20.87,1.69,29.92,59.99,online
C-01,2026-09-02 09:00:00,0.367,7.04,20.93,1.32,27.38,55.96,online
C-01,2026-09-02 10:00:00,0.293,5.19,20.92,1.68,26.8,66.51,online
C-01,2026-09-02 11:00:00,0.271,6.87,20.89,1.29,30.61,62.59,online
C-01,2026-09-02 12:00:00,0.34,8.18,20.9,1.19,27.93,64.42,online
C-01,2026-09-02 13:00:00,0.267,9.19,20.88,1.45,30.31,72.25,online
C-01,2026-09-02 14:00:00,0.285,8.67,20.73,1.31,27.1,73.1,online
C-01,2026-09-02 15:00:00,0.315,7.61,20.94,0.76,24.98,68.98,online
C-01,2026-09-02 16:00:00,0.302,8.45,20.64,1.29,31.01,69.12,online
C-01,2026-09-02 17:00:00,0.307,7.21,20.75,0.77,28.39,69.23,online
S-01,2026-09-01 18:00:00,0.237,6.81,20.66,1.06,28.08,54.58,online
S-01,2026-09-01 19:00:00,0.325,9.36,20.77,0.68,26.51,71.16,online
S-01,2026-09-01 20:00:00,0.189,7.37,20.66,1.5,26.99,67.02,online
S-01,2026-09-01 21:00:00,0.323,11.31,20.78,1.39,25.77,70.95,online
S-01,2026-09-01 22:00:00,0.27,6.99,20.8,0.91,28.34,69.84,online
S-01,2026-09-01 23:00:00,0.312,5.14,20.79,1.49,25.18,59.63,online
S-01,2026-09-02 00:00:00,0.335,8.49,20.85,1.76,28.7,68.29,online
S-01,2026-09-02 01:00:00,0.408,7.62,20.7,1.41,28.66,62.37,online
S-01,2026-09-02 02:00:00,0.259,12.16,20.84,1.12,29.37,64.45,online
S-01,2026-09-02 03:00:00,0.29,9.01,20.64,1.39,30.87,67.33,online
S-01,2026-09-02 04:00:00,0.285,7.09,20.75,1.24,27.43,69.58,online
S-01,2026-09-02 05:00:00,0.231,9.55,20.75,1.39,26.31,71.64,online
S-01,2026-09-02 06:00:00,0.35,9.73,20.62,1.51,28.61,56.97,online
S-01,2026-09-02 07:00:00,0.299,8.66,20.87,1.34,28.44,72.37,online
S-01,2026-09-02 08:00:00,0.349,2.84,20.76,1.26,25.37,65.47,online
S-01,2026-09-02 09:00:00,0.35,6.04,20.84,1.07,26.99,72.39,online
S-01,2026-09-02 10:00:00,0.278,8.83,20.58,1.77,28.9,64.09,online
S-01,2026-09-02 11:00:00,0.323,5.46,20.94,1.22,27.69,62.54,online
S-01,2026-09-02 12:00:00,0.277,9.25,20.83,1.46,27.99,67.57,online
S-01,2026-09-02 13:00:00,0.283,12.01,20.61,1.62,30.05,60.74,online
S-01,2026-09-02 14:00:00,0.389,9.79,20.92,1.31,27.67,63.95,online
S-01,2026-09-02 15:00:00,0.316,10.52,20.82,1.07,29.24,69.61,online
S-01,2026-09-02 16:00:00,0.326,9.34,20.77,1.07,26.7,56.82,online
S-01,2026-09-02 17:00:00,0.309,7.85,20.75,0.56,26.13,70.6,online
